cod_municipio,municipio,ano,situacao,populacao
4100103,Abatiá (PR),1991,Total,10238
4100103,Abatiá (PR),1991,Urbana,5109
4100103,Abatiá (PR),1991,Rural,5129
4100202,Adrianópolis (PR),1991,Total,8935
4100202,Adrianópolis (PR),1991,Urbana,1589
4100202,Adrianópolis (PR),1991,Rural,7346
4100301,Agudos do Sul (PR),1991,Total,6076
4100301,Agudos do Sul (PR),1991,Urbana,779
4100301,Agudos do Sul (PR),1991,Rural,5297
4100400,Almirante Tamandaré (PR),1991,Total,66159
4100400,Almirante Tamandaré (PR),1991,Urbana,59080
4100400,Almirante Tamandaré (PR),1991,Rural,7079
4100459,Altamira do Paraná (PR),1991,Total,7437
4100459,Altamira do Paraná (PR),1991,Urbana,1821
4100459,Altamira do Paraná (PR),1991,Rural,5616
4100509,Altônia (PR),1991,Total,24589
4100509,Altônia (PR),1991,Urbana,11925
4100509,Altônia (PR),1991,Rural,12664
4100608,Alto Paraná (PR),1991,Total,12047
4100608,Alto Paraná (PR),1991,Urbana,8359
4100608,Alto Paraná (PR),1991,Rural,3688
4100707,Alto Piquiri (PR),1991,Total,17229
4100707,Alto Piquiri (PR),1991,Urbana,11582
4100707,Alto Piquiri (PR),1991,Rural,5647
4100806,Alvorada do Sul (PR),1991,Total,9685
4100806,Alvorada do Sul (PR),1991,Urbana,5922
4100806,Alvorada do Sul (PR),1991,Rural,3763
4100905,Amaporã (PR),1991,Total,3948
4100905,Amaporã (PR),1991,Urbana,3087
4100905,Amaporã (PR),1991,Rural,861
4101002,Ampére (PR),1991,Total,13213
4101002,Ampére (PR),1991,Urbana,6037
4101002,Ampére (PR),1991,Rural,7176
4101051,Anahy (PR),1991,Total,0
4101051,Anahy (PR),1991,Urbana,0
4101051,Anahy (PR),1991,Rural,0
4101101,Andirá (PR),1991,Total,19584
4101101,Andirá (PR),1991,Urbana,17114
4101101,Andirá (PR),1991,Rural,2470
4101150,Ângulo (PR),1991,Total,0
4101150,Ângulo (PR),1991,Urbana,0
4101150,Ângulo (PR),1991,Rural,0
4101200,Antonina (PR),1991,Total,17070
4101200,Antonina (PR),1991,Urbana,14018
4101200,Antonina (PR),1991,Rural,3052
4101309,Antônio Olinto (PR),1991,Total,7733
4101309,Antônio Olinto (PR),1991,Urbana,618
4101309,Antônio Olinto (PR),1991,Rural,7115
4101408,Apucarana (PR),1991,Total,95064
4101408,Apucarana (PR),1991,Urbana,86079
4101408,Apucarana (PR),1991,Rural,8985
4101507,Arapongas (PR),1991,Total,64556
4101507,Arapongas (PR),1991,Urbana,60025
4101507,Arapongas (PR),1991,Rural,4531
4101606,Arapoti (PR),1991,Total,20603
4101606,Arapoti (PR),1991,Urbana,11413
4101606,Arapoti (PR),1991,Rural,9190
4101655,Arapuã (PR),1991,Total,0
4101655,Arapuã (PR),1991,Urbana,0
4101655,Arapuã (PR),1991,Rural,0
4101705,Araruna (PR),1991,Total,12387
4101705,Araruna (PR),1991,Urbana,5858
4101705,Araruna (PR),1991,Rural,6529
4101804,Araucária (PR),1991,Total,61889
4101804,Araucária (PR),1991,Urbana,54262
4101804,Araucária (PR),1991,Rural,7627
4101853,Ariranha do Ivaí (PR),1991,Total,0
4101853,Ariranha do Ivaí (PR),1991,Urbana,0
4101853,Ariranha do Ivaí (PR),1991,Rural,0
4101903,Assaí (PR),1991,Total,20325
4101903,Assaí (PR),1991,Urbana,12964
4101903,Assaí (PR),1991,Rural,7361
4102000,Assis Chateaubriand (PR),1991,Total,39737
4102000,Assis Chateaubriand (PR),1991,Urbana,28835
4102000,Assis Chateaubriand (PR),1991,Rural,10902
4102109,Astorga (PR),1991,Total,22458
4102109,Astorga (PR),1991,Urbana,18534
4102109,Astorga (PR),1991,Rural,3924
4102208,Atalaia (PR),1991,Total,4129
4102208,Atalaia (PR),1991,Urbana,2841
4102208,Atalaia (PR),1991,Rural,1288
4102307,Balsa Nova (PR),1991,Total,7515
4102307,Balsa Nova (PR),1991,Urbana,2430
4102307,Balsa Nova (PR),1991,Rural,5085
4102406,Bandeirantes (PR),1991,Total,34310
4102406,Bandeirantes (PR),1991,Urbana,24422
4102406,Bandeirantes (PR),1991,Rural,9888
4102505,Barbosa Ferraz (PR),1991,Total,18389
4102505,Barbosa Ferraz (PR),1991,Urbana,10872
4102505,Barbosa Ferraz (PR),1991,Rural,7517
4102604,Barracão (PR),1991,Total,14692
4102604,Barracão (PR),1991,Urbana,4491
4102604,Barracão (PR),1991,Rural,10201
4102703,Barra do Jacaré (PR),1991,Total,3151
4102703,Barra do Jacaré (PR),1991,Urbana,1390
4102703,Barra do Jacaré (PR),1991,Rural,1761
4102752,Bela Vista da Caroba (PR),1991,Total,0
4102752,Bela Vista da Caroba (PR),1991,Urbana,0
4102752,Bela Vista da Caroba (PR),1991,Rural,0
4102802,Bela Vista do Paraíso (PR),1991,Total,15098
4102802,Bela Vista do Paraíso (PR),1991,Urbana,13070
4102802,Bela Vista do Paraíso (PR),1991,Rural,2028
4102901,Bituruna (PR),1991,Total,12852
4102901,Bituruna (PR),1991,Urbana,5575
4102901,Bituruna (PR),1991,Rural,7277
4103008,Boa Esperança (PR),1991,Total,6954
4103008,Boa Esperança (PR),1991,Urbana,2639
4103008,Boa Esperança (PR),1991,Rural,4315
4103024,Boa Esperança do Iguaçu (PR),1991,Total,0
4103024,Boa Esperança do Iguaçu (PR),1991,Urbana,0
4103024,Boa Esperança do Iguaçu (PR),1991,Rural,0
4103040,Boa Ventura de São Roque (PR),1991,Total,0
4103040,Boa Ventura de São Roque (PR),1991,Urbana,0
4103040,Boa Ventura de São Roque (PR),1991,Rural,0
4103057,Boa Vista da Aparecida (PR),1991,Total,10370
4103057,Boa Vista da Aparecida (PR),1991,Urbana,3228
4103057,Boa Vista da Aparecida (PR),1991,Rural,7142
4103107,Bocaiúva do Sul (PR),1991,Total,10657
4103107,Bocaiúva do Sul (PR),1991,Urbana,3242
4103107,Bocaiúva do Sul (PR),1991,Rural,7415
4103156,Bom Jesus do Sul (PR),1991,Total,0
4103156,Bom Jesus do Sul (PR),1991,Urbana,0
4103156,Bom Jesus do Sul (PR),1991,Rural,0
4103206,Bom Sucesso (PR),1991,Total,7116
4103206,Bom Sucesso (PR),1991,Urbana,4588
4103206,Bom Sucesso (PR),1991,Rural,2528
4103222,Bom Sucesso do Sul (PR),1991,Total,0
4103222,Bom Sucesso do Sul (PR),1991,Urbana,0
4103222,Bom Sucesso do Sul (PR),1991,Rural,0
4103305,Borrazópolis (PR),1991,Total,11481
4103305,Borrazópolis (PR),1991,Urbana,5480
4103305,Borrazópolis (PR),1991,Rural,6001
4103354,Braganey (PR),1991,Total,8069
4103354,Braganey (PR),1991,Urbana,3017
4103354,Braganey (PR),1991,Rural,5052
4103370,Brasilândia do Sul (PR),1991,Total,0
4103370,Brasilândia do Sul (PR),1991,Urbana,0
4103370,Brasilândia do Sul (PR),1991,Rural,0
4103404,Cafeara (PR),1991,Total,2398
4103404,Cafeara (PR),1991,Urbana,1603
4103404,Cafeara (PR),1991,Rural,795
4103453,Cafelândia (PR),1991,Total,8093
4103453,Cafelândia (PR),1991,Urbana,5185
4103453,Cafelândia (PR),1991,Rural,2908
4103479,Cafezal do Sul (PR),1991,Total,0
4103479,Cafezal do Sul (PR),1991,Urbana,0
4103479,Cafezal do Sul (PR),1991,Rural,0
4103503,Califórnia (PR),1991,Total,7329
4103503,Califórnia (PR),1991,Urbana,4525
4103503,Califórnia (PR),1991,Rural,2804
4103602,Cambará (PR),1991,Total,21343
4103602,Cambará (PR),1991,Urbana,16491
4103602,Cambará (PR),1991,Rural,4852
4103701,Cambé (PR),1991,Total,73842
4103701,Cambé (PR),1991,Urbana,66817
4103701,Cambé (PR),1991,Rural,7025
4103800,Cambira (PR),1991,Total,9793
4103800,Cambira (PR),1991,Urbana,3868
4103800,Cambira (PR),1991,Rural,5925
4103909,Campina da Lagoa (PR),1991,Total,20506
4103909,Campina da Lagoa (PR),1991,Urbana,12677
4103909,Campina da Lagoa (PR),1991,Rural,7829
4103958,Campina do Simão (PR),1991,Total,0
4103958,Campina do Simão (PR),1991,Urbana,0
4103958,Campina do Simão (PR),1991,Rural,0
4104006,Campina Grande do Sul (PR),1991,Total,19343
4104006,Campina Grande do Sul (PR),1991,Urbana,12722
4104006,Campina Grande do Sul (PR),1991,Rural,6621
4104055,Campo Bonito (PR),1991,Total,5059
4104055,Campo Bonito (PR),1991,Urbana,1479
4104055,Campo Bonito (PR),1991,Rural,3580
4104105,Campo do Tenente (PR),1991,Total,5241
4104105,Campo do Tenente (PR),1991,Urbana,2043
4104105,Campo do Tenente (PR),1991,Rural,3198
4104204,Campo Largo (PR),1991,Total,72523
4104204,Campo Largo (PR),1991,Urbana,53892
4104204,Campo Largo (PR),1991,Rural,18631
4104253,Campo Magro (PR),1991,Total,0
4104253,Campo Magro (PR),1991,Urbana,0
4104253,Campo Magro (PR),1991,Rural,0
4104303,Campo Mourão (PR),1991,Total,82318
4104303,Campo Mourão (PR),1991,Urbana,72335
4104303,Campo Mourão (PR),1991,Rural,9983
4104402,Cândido de Abreu (PR),1991,Total,21607
4104402,Cândido de Abreu (PR),1991,Urbana,3958
4104402,Cândido de Abreu (PR),1991,Rural,17649
4104428,Candói (PR),1991,Total,0
4104428,Candói (PR),1991,Urbana,0
4104428,Candói (PR),1991,Rural,0
4104451,Cantagalo (PR),1991,Total,25497
4104451,Cantagalo (PR),1991,Urbana,5690
4104451,Cantagalo (PR),1991,Rural,19807
4104501,Capanema (PR),1991,Total,19368
4104501,Capanema (PR),1991,Urbana,7936
4104501,Capanema (PR),1991,Rural,11432
4104600,Capitão Leônidas Marques (PR),1991,Total,17843
4104600,Capitão Leônidas Marques (PR),1991,Urbana,7783
4104600,Capitão Leônidas Marques (PR),1991,Rural,10060
4104659,Carambeí (PR),1991,Total,0
4104659,Carambeí (PR),1991,Urbana,0
4104659,Carambeí (PR),1991,Rural,0
4104709,Carlópolis (PR),1991,Total,12357
4104709,Carlópolis (PR),1991,Urbana,6519
4104709,Carlópolis (PR),1991,Rural,5838
4104808,Cascavel (PR),1991,Total,192990
4104808,Cascavel (PR),1991,Urbana,177766
4104808,Cascavel (PR),1991,Rural,15224
4104907,Castro (PR),1991,Total,64058
4104907,Castro (PR),1991,Urbana,39125
4104907,Castro (PR),1991,Rural,24933
4105003,Catanduvas (PR),1991,Total,9821
4105003,Catanduvas (PR),1991,Urbana,3712
4105003,Catanduvas (PR),1991,Rural,6109
4105102,Centenário do Sul (PR),1991,Total,14269
4105102,Centenário do Sul (PR),1991,Urbana,9990
4105102,Centenário do Sul (PR),1991,Rural,4279
4105201,Cerro Azul (PR),1991,Total,21073
4105201,Cerro Azul (PR),1991,Urbana,3599
4105201,Cerro Azul (PR),1991,Rural,17474
4105300,Céu Azul (PR),1991,Total,10586
4105300,Céu Azul (PR),1991,Urbana,5831
4105300,Céu Azul (PR),1991,Rural,4755
4105409,Chopinzinho (PR),1991,Total,24587
4105409,Chopinzinho (PR),1991,Urbana,8282
4105409,Chopinzinho (PR),1991,Rural,16305
4105508,Cianorte (PR),1991,Total,49846
4105508,Cianorte (PR),1991,Urbana,37850
4105508,Cianorte (PR),1991,Rural,11996
4105607,Cidade Gaúcha (PR),1991,Total,8472
4105607,Cidade Gaúcha (PR),1991,Urbana,6522
4105607,Cidade Gaúcha (PR),1991,Rural,1950
4105706,Clevelândia (PR),1991,Total,18057
4105706,Clevelândia (PR),1991,Urbana,13347
4105706,Clevelândia (PR),1991,Rural,4710
4105805,Colombo (PR),1991,Total,117767
4105805,Colombo (PR),1991,Urbana,110273
4105805,Colombo (PR),1991,Rural,7494
4105904,Colorado (PR),1991,Total,18972
4105904,Colorado (PR),1991,Urbana,15616
4105904,Colorado (PR),1991,Rural,3356
4106001,Congonhinhas (PR),1991,Total,7773
4106001,Congonhinhas (PR),1991,Urbana,4044
4106001,Congonhinhas (PR),1991,Rural,3729
4106100,Conselheiro Mairinck (PR),1991,Total,3493
4106100,Conselheiro Mairinck (PR),1991,Urbana,2226
4106100,Conselheiro Mairinck (PR),1991,Rural,1267
4106209,Contenda (PR),1991,Total,8941
4106209,Contenda (PR),1991,Urbana,4823
